Count,Name,Race,Tags,Cost,Military,Culture,Faith,Description,Lore
2,Divine Race,divine,vote,,,,,,
1,Dwarf Fortress,dwarf,building,,,,,+1 \M for each dwarf creature when defending,Booze does all the work in forts.; Dwarves are just booze exoskeletons.
1,Vault,dwarf,building,,,,,,Gems and money is what makes a dwarf happy.
1,Axedwarf,dwarf,creature,,,,,,I’m wasted on cross-country. We Dwarves are natural sprinters. Very dangerous over short distances.
1,Blacksmith,dwarf,creature,,,,,,Tailor for the wealthy.; ...; I mean... for the dwarfs.; For wealthy dwarfs.
1,Miner,dwarf,creature,,,,,Produces $G every turn,The spirits of the earth guide me.; You mean metal ores.; Of course.
1,Runesmith,dwarf,creature,,,,,,
1,Talos Automaton,dwarf,"creature, building",,,,,+5 \M when defending,Talos is the Sun.
1,Axe,dwarf,item,1 $G,3,,,"The Axe is free if you have Workshop, Craftsman, or Blacksmith",
1,Booze,dwarf,item,1 $G,-1,2,,"+1 \M, +2 \C if held by dwarf or human",
1,Jewel,dwarf,item,1 $G,,3,,The Jevel is free if you have Vault,"Antique ruby pendant with perfect diamond cut, flawless clarity and deep red color, 3 carats."
1,Leprechaun Pendant,dwarf,item,1 $G,1,1,1,Grants you luck - this has no effect in the game,Humans believe in luck and in circumstances.; Dwarves believe in cause and effect.
1,Mithril,dwarf,item,1 $G,2,,,+3 \M when defending,
2,Dwarf Race,dwarf,vote,,,,,,The Dwarves delved too greedily and too deep.
1,Sacred Grove,elf,building,,,,,,Greatest civilizations are grown from the ashes of their foes.
1,Centaur,elf,creature,,,,,,How do you wear pants?; I dont.
1,Druid,elf,creature,,,,,,"One tree, two trees, tree threes, ... three trees, ... I have to stop playing the dies, ... the dices ..."
1,Dryad,elf,creature,,,,,,
1,Ent,elf,creature,,,,,+1 \M for each Entwife,"You see, we lost the entwives."
1,Entwife,elf,creature,,,,,+1 \C for each Ent,"I am right here, you dumb***."
1,Faerie,elf,creature,,,,,,The fairest of them all.
1,Wisp,elf,creature,,,,,Produces $M every turn,"Eo, eo, eo."
1,Book of Laments,elf,item,,,3,,,"Massë ná romba i súyanë? Avániër vë mistë orossë, vë súlimë lairenna. Var cenuva yéni sirala et Ëarello entula?"
1,Mandrake,elf,item,,,,,,
2,Elf Race,elf,vote,,,,,,"Elves shall be the fairest of all earthly creatures, and they shall have and shall conceive and bring forth more beauty than all others, and they shall have the greater bliss in this world.; Also pointy ears!"
1,Castle,human,building,,,,,+1 \M for each human creature when defending,"Draw bridge, machicolations, murder holes, hoardings, arrowslits, bartizans, embrasures, merlons, ..."
1,Temple,human,building,,,,,,In nomine Patris et Filii et Spiritus sancti.
1,Trebuchet,human,building,,,,,+3 \M when attacking,I'm TNT! I'm dynamite!
1,Workshop,human,building,,,,,,"Look, I'm an engineer, my time is valuable."
1,Craftsman,human,creature,,,,,Requires Workshop; Produces $G every turn,I'm being repressed!
1,Knight,human,creature,,,,,,"Damn helmet, can't seem to get this thing..."
1,Monk,human,creature,,,,,,Wololo.
1,Peasant,human,creature,,,,,Produces $G every turn,"Ready for work!; ...; Work, again?"
1,Priest,human,creature,,,,,Requires Tempe; Produces $M every turn,"One ring to rule them all, one ring to find them. One ring to bring them all, ...; Sorry, wrong book."
1,Ranger,human,creature,,,,,,You have my sword.
1,The King,human,"creature, artifact",,,,,Every Craftsman and Peasant produces an additional resource token,"The king commands, the nation obeys."
1,Bible,human,item,1 $G,,,3,,"Knowledge, in the right hands, is the most powerful of all things."
1,Book of Poems,human,item,1 $G,,2,,+2 \C if you have Mandolin,Time doesn’t heal wounds to make you forget.; Time leaves you with a scar to remind you of how you bled.
1,Hookah,human,item,1 $G,,3,,,Eternal Smoke Dark Bean; Social Smoke Berry Punch; Starbuzz Blue Mist
1,Mandolin,human,item,1 $G,,2,,+2 \C if you have Book of Poems,𝄠𝄰𝆔𝅘𝅥𝅮𝅗𝅗𝆕𝄗 𝄽𝄅𝇓𝅘𝅥𝅯𝅘𝅥𝅮𝄬𝅘𝅥𝅱𝄬𝆕𝅗𝅯𝆪𝅘𝅥𝅮 𝄆𝅘𝅥𝅮𝅝𝄽𝅘𝅥𝅮𝅘𝅥𝅯𝅗𝅘𝅥𝅯 𝆕𝄬𝄬𝆺𝅥𝅮𝇓𝅘𝅥𝅮𝅘𝅥𝅯𝅘𝅥𝅯𝄇 𝆔𝅝𝅗𝄽𝅗𝅘𝅥𝅮𝅗𝅝𝅝
1,Mushroom Stew,human,item,1 $G,1,2,,,"Do you see the dragon?; No, but there is a unicorn staring at me."
1,Sword,human,item,1 $G,3,,,"The Sword is free if you have Workshop, Craftsman, or Blacksmith",
1,Doppelganger,human,spell,1 $M,,,,Play immediately after enemy spell that targets a creature; Choose another creature with same owner as replacement target for that spell,
2,Human Race,human,vote,,,,,,Mediocre in all respects.
1,Dwelling,orc,building,,,,,Once per turn: spend 5 resource tokens of any kind to create an Orc,
1,Maze,orc,building,,,,,+2 \C if you have Minotaur,There is great treasue at the end. There is great minotaur in the way.
1,Cyclop,orc,creature,,,,,,King among blind.
1,Dragon,orc,creature,,,,,Kill one enemy creature; Produces $F every turn,"Look, I made an obsidian."
1,Goblin,orc,creature,,,,,,"Judge me by my size, do you?"
1,Hydra,orc,creature,,,,,Once per turn: spend 1 $M to grow additional head; +1 \M for each head,
1,Medusa,orc,creature,,,,,,
1,Minotaur,orc,creature,,,,,+2 \M if you have Maze,I am not a cyclop. I have two eyes.
1,Orc,orc,creature,,,,,,"The more orc you have, the more orc you get."
1,Troglodyte,orc,creature,,,,,,"Twolobite, ... trilobite, ... troglodyte!"
1,Troll,orc,creature,,,,,,"Left head: 'This way!'; Right head: 'No, that way!'"
1,Flesh,orc,item,1 $G,1,2,,,"Looks like meat's back on the menu, boys."
1,Poison,orc,item,1 $G,3,,,,The coward's weapon.
1,Illusion,orc,spell,2 $M,,,,Target own creature; Create temporary creature with same tags and attributes as printed on the target; Temporary creature is removed at the end of the turn,
2,Orc Race,orc,vote,,,,,,"Brutish, aggressive, ugly, and malevolent race of monsters, descended from a corruption of elves."
1,Graveyard,undead,building,,,,,Once per turn: spend 5 resource tokens of any kind to create a Skeleton,
1,Tomb,undead,building,,,,,,Humans check in. They don't check out.
1,Banshee,undead,creature,,,,,,
1,Ghost,undead,creature,,,,,,"I'm invisible, gaseous, and deadly."
1,Lich,undead,creature,,,,,Produces $M every turn,I always wanted to start my own religion... so I did!
1,Mummy,undead,creature,,,,,,Just a glorified roll of toilet paper.
1,Skeleton,undead,creature,,,,,,"No guts, no gory."
1,Spectre,undead,creature,,,,,"At the end: target a creature, own or enemy; The spectre has same attributes as the printed attributes of the target",
1,Vampire,undead,creature,,,,,Once per turn: spend 1 $M to steal 1 resource token of any kind from the enemy,I'm having a mid-death crisis.
1,Werewolf,undead,creature,,,,,,
1,Zombie,undead,creature,,,,,,
1,The Grim Reaper,undead,"creature, artifact",,,,,,
1,Plague,undead,spell,2 $M,,,,"All enemy non-undead creatures have -1 \M, +1 \F this turn","You may pray, but without breath you cannot fight."
1,Raise Undead,undead,spell,3 $M,,,,"Requires Graveyard; Target dead non-undead creature, own or enemy, and remove it; Create a Skeleton",
1,Will-o-the-wisp,undead,spell,2 $M,,,,Play in combat; Target enemy non-undead non-demonic creature; That creature is considered dead in this combat,
2,Undead Race,undead,vote,,,,,,"Technically dead, but still animate."
